security_id,ticker,exchange,company_name,instrument_type,selection_status,priority_tier,index_importance_signal,market_importance_signal,exchange_signal,history_signal,identity_signal,known_provider_evidence,duplicate_identity_status,selection_reason
KBS:UPCOM:IDP,IDP,UPCOM,CTCP Sữa Quốc tế Lof,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:IME,IME,UPCOM,CTCP Cơ khí và Xây lắp Công nghiệp,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:IN4,IN4,UPCOM,CTCP In Số 4,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:IRC,IRC,UPCOM,CTCP Cao su Công nghiệp,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:ISG,ISG,UPCOM,CTCP Vận tải biển và Hợp tác Lao động Quốc tế,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:ISH,ISH,UPCOM,CTCP Thủy điện Srok Phu Miêng IDICO,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:ITA,ITA,UPCOM,CTCP Đầu tư và Công nghiệp Tân Tạo,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:ITS,ITS,UPCOM,CTCP Đầu tư Thương mại và Dịch vụ - Vinacomin,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:KAI,KAI,UPCOM,CTCP Chứng khoán KAFI,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:KCB,KCB,UPCOM,CTCP Khoáng sản và Luyện kim Cao Bằng - Vimico,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
