priority_rank,security_id,ticker,exchange,company_name,instrument_type,selection_status,priority_tier,index_importance_signal,market_importance_signal,exchange_signal,history_signal,identity_signal,known_provider_evidence,duplicate_identity_status,selection_reason
65,KBS:HOSE:DTL,DTL,HOSE,CTCP Đại Thiên Lộc,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
66,KBS:HOSE:DXG,DXG,HOSE,CTCP Bluemarq Group,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
67,KBS:HOSE:DXS,DXS,HOSE,CTCP Dịch vụ Bất động sản Đất Xanh,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
68,KBS:HOSE:DXV,DXV,HOSE,CTCP VICEM Vật liệu Xây dựng Đà Nẵng,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
69,KBS:HOSE:EIB,EIB,HOSE,Ngân hàng TMCP Xuất nhập khẩu Việt Nam,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
70,KBS:HOSE:EVG,EVG,HOSE,CTCP Tập đoàn EverLand,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
71,KBS:HOSE:FCM,FCM,HOSE,CTCP Bê tông Phan Vũ Hà Nam,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
72,KBS:HOSE:FCN,FCN,HOSE,CTCP Tập đoàn FECON,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
73,KBS:HOSE:FTS,FTS,HOSE,CTCP Chứng khoán FPT,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
74,KBS:HOSE:GEE,GEE,HOSE,CTCP Điện lực Gelex,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
